Model,DPO2012
Firmware Version,1.39

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.00768049,
Filter Frequency,1.4e+06,
Record Length,5200,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.2,
Label,,
TIME,CH1,CH1 Peak Detect
-1.2519e+00,0.808,0.832
-1.2442e+00,0.8,0.776
-1.2366e+00,0.8,0.832
-1.2289e+00,0.8,0.776
-1.2212e+00,0.808,0.832
-1.2135e+00,0.808,0.776
-1.2058e+00,0.808,0.832
-1.1982e+00,0.808,0.776
-1.1905e+00,0.808,0.832
-1.1828e+00,0.808,0.776
-1.1751e+00,0.808,0.832
-1.1674e+00,0.808,0.784
-1.1598e+00,0.808,0.84
-1.1521e+00,0.808,0.776
-1.1444e+00,0.808,0.832
-1.1367e+00,0.808,0.784
-1.1290e+00,0.808,0.84
-1.1214e+00,0.808,0.784
-1.1137e+00,0.808,0.832
-1.1060e+00,0.808,0.776
-1.0983e+00,0.808,0.832
-1.0906e+00,0.808,0.784
-1.0829e+00,0.808,0.84
-1.0753e+00,0.808,0.776
-1.0676e+00,0.808,0.832
-1.0599e+00,0.808,0.784
-1.0522e+00,0.808,0.84
-1.0445e+00,0.808,0.784
-1.0369e+00,0.808,0.832
-1.0292e+00,0.808,0.776
-1.0215e+00,0.808,0.84
-1.0138e+00,0.808,0.784
-1.0061e+00,0.808,0.832
-9.9846e-01,0.808,0.776
-9.9078e-01,0.808,0.84
-9.8310e-01,0.808,0.784
-9.7542e-01,0.808,0.84
-9.6774e-01,0.808,0.784
-9.6006e-01,0.808,0.84
-9.5238e-01,0.808,0.784
-9.4470e-01,0.808,0.84
-9.3702e-01,0.808,0.776
-9.2934e-01,0.808,0.84
-9.2166e-01,0.808,0.784
-9.1398e-01,0.808,0.84
-9.0630e-01,0.816,0.784
-8.9862e-01,0.816,0.84
-8.9094e-01,0.816,0.784
-8.8326e-01,0.816,0.84
-8.7558e-01,0.816,0.784
-8.6790e-01,0.816,0.848
-8.6022e-01,0.816,0.792
-8.5253e-01,0.816,0.84
-8.4485e-01,0.816,0.784
-8.3717e-01,0.816,0.848
-8.2949e-01,0.816,0.784
-8.2181e-01,0.816,0.84
-8.1413e-01,0.816,0.792
-8.0645e-01,0.816,0.848
-7.9877e-01,0.816,0.784
-7.9109e-01,0.816,0.84
-7.8341e-01,0.816,0.792
-7.7573e-01,0.816,0.848
-7.6805e-01,0.816,0.784
-7.6037e-01,0.816,0.848
-7.5269e-01,0.816,0.792
-7.4501e-01,0.816,0.848
-7.3733e-01,0.816,0.784
-7.2965e-01,0.816,0.848
-7.2197e-01,0.816,0.792
-7.1429e-01,0.816,0.848
-7.0661e-01,0.816,0.792
-6.9892e-01,0.816,0.848
-6.9124e-01,0.816,0.784
-6.8356e-01,0.816,0.848
-6.7588e-01,0.816,0.792
-6.6820e-01,0.816,0.848
-6.6052e-01,0.816,0.784
-6.5284e-01,0.816,0.848
-6.4516e-01,0.816,0.792
-6.3748e-01,0.816,0.848
-6.2980e-01,0.816,0.792
-6.2212e-01,0.816,0.848
-6.1444e-01,0.816,0.792
-6.0676e-01,0.824,0.856
-5.9908e-01,0.824,0.792
-5.9140e-01,0.816,0.848
-5.8372e-01,0.824,0.792
-5.7604e-01,0.824,0.848
-5.6836e-01,0.824,0.792
-5.6068e-01,0.824,0.848
-5.5300e-01,0.824,0.792
-5.4531e-01,0.824,0.848
-5.3763e-01,0.824,0.792
-5.2995e-01,0.824,0.848
-5.2227e-01,0.824,0.792
-5.1459e-01,0.824,0.848
-5.0691e-01,0.824,0.792
-4.9923e-01,0.824,0.856
-4.9155e-01,0.824,0.792
-4.8387e-01,0.824,0.856
-4.7619e-01,0.824,0.792
-4.6851e-01,0.824,0.848
-4.6083e-01,0.824,0.792
-4.5315e-01,0.824,0.856
-4.4547e-01,0.824,0.792
-4.3779e-01,0.824,0.848
-4.3011e-01,0.824,0.8
-4.2243e-01,0.824,0.856
-4.1475e-01,0.824,0.792
-4.0707e-01,0.824,0.848
-3.9939e-01,0.824,0.8
-3.9171e-01,0.824,0.856
-3.8402e-01,0.824,0.8
-3.7634e-01,0.824,0.856
-3.6866e-01,0.824,0.8
-3.6098e-01,0.824,0.856
-3.5330e-01,0.824,0.8
-3.4562e-01,0.824,0.856
-3.3794e-01,0.824,0.8
-3.3026e-01,0.824,0.856
-3.2258e-01,0.824,0.8
-3.1490e-01,0.824,0.856
-3.0722e-01,0.824,0.8
-2.9954e-01,0.824,0.856
-2.9186e-01,0.824,0.8
-2.8418e-01,0.832,0.856
-2.7650e-01,0.824,0.8
-2.6882e-01,0.824,0.856
-2.6114e-01,0.832,0.808
-2.5346e-01,0.824,0.856
-2.4578e-01,0.832,0.808
-2.3810e-01,0.832,0.856
-2.3041e-01,0.832,0.8
-2.2273e-01,0.832,0.856
-2.1505e-01,0.832,0.808
-2.0737e-01,0.832,0.856
-1.9969e-01,0.832,0.8
-1.9201e-01,0.832,0.856
-1.8433e-01,0.832,0.808
-1.7665e-01,0.832,0.864
-1.6897e-01,0.832,0.8
-1.6129e-01,0.832,0.856
-1.5361e-01,0.832,0.8
-1.4593e-01,0.832,0.864
-1.3825e-01,0.832,0.808
-1.3057e-01,0.832,0.856
-1.2289e-01,0.832,0.808
-1.1521e-01,0.832,0.864
-1.0753e-01,0.832,0.808
-9.9846e-02,0.832,0.856
-9.2166e-02,0.832,0.808
-8.4485e-02,0.832,0.856
-7.6805e-02,0.832,0.808
-6.9124e-02,0.832,0.864
-6.1444e-02,0.832,0.8
-5.3763e-02,0.832,0.856
-4.6083e-02,0.832,0.808
-3.8402e-02,0.832,0.864
-3.0722e-02,0.832,0.808
-2.3041e-02,0.832,0.856
-1.5361e-02,0.832,0.808
-7.6805e-03,0.832,0.864
-1.7007e-13,0.832,0.808
7.6805e-03,0.832,0.864
1.5361e-02,0.832,0.808
2.3041e-02,0.832,0.864
3.0722e-02,0.84,0.808
3.8402e-02,0.832,0.864
4.6083e-02,0.84,0.808
5.3763e-02,0.84,0.856
6.1444e-02,0.84,0.808
6.9124e-02,0.84,0.864
7.6805e-02,0.84,0.808
8.4485e-02,0.84,0.864
9.2166e-02,0.84,0.816
9.9846e-02,0.84,0.864
1.0753e-01,0.84,0.808
1.1521e-01,0.84,0.864
1.2289e-01,0.84,0.816
1.3057e-01,0.84,0.864
1.3825e-01,0.84,0.808
1.4593e-01,0.84,0.872
1.5361e-01,0.84,0.816
1.6129e-01,0.84,0.872
1.6897e-01,0.84,0.816
1.7665e-01,0.84,0.872
1.8433e-01,0.84,0.808
1.9201e-01,0.84,0.864
1.9969e-01,0.84,0.816
2.0737e-01,0.84,0.872
2.1505e-01,0.84,0.808
2.2273e-01,0.84,0.864
2.3041e-01,0.84,0.816
2.3810e-01,0.84,0.872
2.4578e-01,0.84,0.816
2.5346e-01,0.84,0.864
2.6114e-01,0.84,0.808
2.6882e-01,0.84,0.872
2.7650e-01,0.84,0.816
2.8418e-01,0.84,0.872
2.9186e-01,0.84,0.816
2.9954e-01,0.84,0.872
3.0722e-01,0.84,0.816
3.1490e-01,0.84,0.872
3.2258e-01,0.84,0.816
3.3026e-01,0.84,0.872
3.3794e-01,0.84,0.816
3.4562e-01,0.84,0.872
3.5330e-01,0.848,0.816
3.6098e-01,0.848,0.872
3.6866e-01,0.848,0.816
3.7634e-01,0.848,0.88
3.8402e-01,0.848,0.816
3.9171e-01,0.848,0.872
3.9939e-01,0.848,0.816
4.0707e-01,0.848,0.872
4.1475e-01,0.848,0.824
4.2243e-01,0.848,0.872
4.3011e-01,0.848,0.816
4.3779e-01,0.848,0.872
4.4547e-01,0.848,0.824
4.5315e-01,0.848,0.88
4.6083e-01,0.848,0.816
4.6851e-01,0.848,0.872
4.7619e-01,0.848,0.824
4.8387e-01,0.848,0.872
4.9155e-01,0.848,0.816
4.9923e-01,0.848,0.88
5.0691e-01,0.848,0.824
5.1459e-01,0.848,0.88
5.2227e-01,0.848,0.824
5.2995e-01,0.848,0.88
5.3763e-01,0.848,0.824
5.4531e-01,0.848,0.88
5.5300e-01,0.848,0.824
5.6068e-01,0.848,0.88
5.6836e-01,0.848,0.824
5.7604e-01,0.848,0.872
5.8372e-01,0.848,0.824
5.9140e-01,0.848,0.88
5.9908e-01,0.848,0.824
6.0676e-01,0.848,0.872
6.1444e-01,0.848,0.832
6.2212e-01,0.848,0.88
6.2980e-01,0.848,0.824
6.3748e-01,0.848,0.88
6.4516e-01,0.856,0.824
6.5284e-01,0.848,0.88
6.6052e-01,0.856,0.824
6.6820e-01,0.856,0.88
6.7588e-01,0.848,0.824
6.8356e-01,0.856,0.88
6.9124e-01,0.856,0.832
6.9892e-01,0.856,0.888
7.0661e-01,0.856,0.824
7.1429e-01,0.856,0.88
7.2197e-01,0.856,0.832
7.2965e-01,0.856,0.88
7.3733e-01,0.856,0.824
7.4501e-01,0.856,0.88
7.5269e-01,0.856,0.824
7.6037e-01,0.856,0.888
7.6805e-01,0.856,0.832
7.7573e-01,0.856,0.88
7.8341e-01,0.856,0.824
7.9109e-01,0.856,0.888
7.9877e-01,0.856,0.832
8.0645e-01,0.856,0.888
8.1413e-01,0.856,0.824
8.2181e-01,0.856,0.88
8.2949e-01,0.856,0.832
8.3717e-01,0.856,0.888
8.4485e-01,0.856,0.832
8.5253e-01,0.856,0.88
8.6022e-01,0.856,0.832
8.6790e-01,0.856,0.888
8.7558e-01,0.856,0.832
8.8326e-01,0.856,0.88
8.9094e-01,0.856,0.832
8.9862e-01,0.856,0.888
9.0630e-01,0.856,0.832
9.1398e-01,0.856,0.888
9.2166e-01,0.856,0.832
9.2934e-01,0.856,0.88
9.3702e-01,0.856,0.832
9.4470e-01,0.856,0.888
9.5238e-01,0.856,0.832
9.6006e-01,0.856,0.888
9.6774e-01,0.856,0.832
9.7542e-01,0.856,0.888
9.8310e-01,0.856,0.832
9.9078e-01,0.856,0.888
9.9846e-01,0.856,0.84
1.0061e+00,0.864,0.896
1.0138e+00,0.856,0.832
1.0215e+00,0.864,0.896
1.0292e+00,0.864,0.832
1.0369e+00,0.864,0.896
1.0445e+00,0.864,0.84
1.0522e+00,0.864,0.896
1.0599e+00,0.864,0.832
1.0676e+00,0.864,0.888
1.0753e+00,0.864,0.84
1.0829e+00,0.864,0.896
1.0906e+00,0.864,0.832
1.0983e+00,0.864,0.888
1.1060e+00,0.864,0.84
1.1137e+00,0.864,0.896
1.1214e+00,0.864,0.84
1.1290e+00,0.864,0.888
1.1367e+00,0.864,0.832
1.1444e+00,0.864,0.896
1.1521e+00,0.864,0.84
1.1598e+00,0.864,0.896
1.1674e+00,0.864,0.832
1.1751e+00,0.864,0.896
1.1828e+00,0.864,0.84
1.1905e+00,0.864,0.904
1.1982e+00,0.864,0.84
1.2058e+00,0.864,0.896
1.2135e+00,0.864,0.84
1.2212e+00,0.864,0.896
1.2289e+00,0.864,0.84
1.2366e+00,0.864,0.888
1.2442e+00,0.864,0.84
1.2519e+00,0.864,0.896
1.2596e+00,0.864,0.84
1.2673e+00,0.864,0.888
1.2750e+00,0.864,0.84
1.2826e+00,0.872,0.888
1.2903e+00,0.872,0.84
1.2980e+00,0.872,0.896
1.3057e+00,0.872,0.84
1.3134e+00,0.872,0.896
1.3210e+00,0.872,0.84
1.3287e+00,0.872,0.904
1.3364e+00,0.872,0.84
1.3441e+00,0.872,0.896
1.3518e+00,0.872,0.84
1.3594e+00,0.872,0.896
1.3671e+00,0.872,0.84
1.3748e+00,0.872,0.896
1.3825e+00,0.872,0.84
1.3902e+00,0.872,0.896
1.3978e+00,0.872,0.84
1.4055e+00,0.872,0.896
1.4132e+00,0.872,0.84
1.4209e+00,0.872,0.896
1.4286e+00,0.872,0.848
1.4363e+00,0.872,0.904
1.4439e+00,0.872,0.84
1.4516e+00,0.872,0.896
1.4593e+00,0.872,0.848
1.4670e+00,0.872,0.904
1.4747e+00,0.872,0.848
1.4823e+00,0.872,0.904
1.4900e+00,0.872,0.848
1.4977e+00,0.872,0.904
1.5054e+00,0.872,0.848
1.5131e+00,0.872,0.904
1.5207e+00,0.872,0.848
1.5284e+00,0.872,0.904
1.5361e+00,0.872,0.848
1.5438e+00,0.872,0.904
1.5515e+00,0.872,0.848
1.5591e+00,0.872,0.904
1.5668e+00,0.872,0.848
1.5745e+00,0.872,0.904
1.5822e+00,0.872,0.848
1.5899e+00,0.872,0.896
1.5975e+00,0.872,0.848
1.6052e+00,0.872,0.912
1.6129e+00,0.872,0.848
1.6206e+00,0.88,0.904
1.6283e+00,0.88,0.848
1.6359e+00,0.88,0.904
1.6436e+00,0.88,0.856
1.6513e+00,0.88,0.904
1.6590e+00,0.88,0.848
1.6667e+00,0.88,0.904
1.6743e+00,0.88,0.848
1.6820e+00,0.88,0.912
1.6897e+00,0.88,0.848
1.6974e+00,0.88,0.904
1.7051e+00,0.88,0.856
1.7127e+00,0.88,0.912
1.7204e+00,0.88,0.848
1.7281e+00,0.88,0.904
1.7358e+00,0.88,0.848
1.7435e+00,0.88,0.912
1.7512e+00,0.88,0.848
1.7588e+00,0.88,0.904
1.7665e+00,0.88,0.848
1.7742e+00,0.88,0.912
1.7819e+00,0.88,0.848
1.7896e+00,0.88,0.912
1.7972e+00,0.88,0.856
1.8049e+00,0.88,0.904
1.8126e+00,0.88,0.856
1.8203e+00,0.88,0.912
1.8280e+00,0.88,0.848
1.8356e+00,0.88,0.904
1.8433e+00,0.88,0.856
1.8510e+00,0.88,0.912
1.8587e+00,0.88,0.848
1.8664e+00,0.88,0.92
1.8740e+00,0.88,0.856
1.8817e+00,0.88,0.912
1.8894e+00,0.88,0.856
1.8971e+00,0.88,0.912
1.9048e+00,0.88,0.856
1.9124e+00,0.88,0.912
1.9201e+00,0.88,0.856
1.9278e+00,0.88,0.912
1.9355e+00,0.888,0.856
1.9432e+00,0.888,0.912
1.9508e+00,0.888,0.856
1.9585e+00,0.888,0.912
1.9662e+00,0.888,0.856
1.9739e+00,0.888,0.912
1.9816e+00,0.888,0.856
1.9892e+00,0.888,0.92
1.9969e+00,0.888,0.856
2.0046e+00,0.888,0.912
2.0123e+00,0.888,0.856
2.0200e+00,0.888,0.92
2.0276e+00,0.888,0.856
2.0353e+00,0.888,0.92
2.0430e+00,0.888,0.856
2.0507e+00,0.888,0.912
2.0584e+00,0.888,0.864
2.0661e+00,0.888,0.92
2.0737e+00,0.888,0.864
2.0814e+00,0.888,0.92
2.0891e+00,0.888,0.864
2.0968e+00,0.888,0.92
2.1045e+00,0.888,0.856
2.1121e+00,0.888,0.912
2.1198e+00,0.888,0.856
2.1275e+00,0.888,0.92
2.1352e+00,0.888,0.856
2.1429e+00,0.888,0.912
2.1505e+00,0.888,0.864
2.1582e+00,0.888,0.928
2.1659e+00,0.888,0.864
2.1736e+00,0.888,0.92
2.1813e+00,0.888,0.864
2.1889e+00,0.888,0.912
2.1966e+00,0.888,0.864
2.2043e+00,0.888,0.928
2.2120e+00,0.888,0.864
2.2197e+00,0.888,0.912
2.2273e+00,0.888,0.864
2.2350e+00,0.888,0.928
2.2427e+00,0.888,0.864
2.2504e+00,0.896,0.92
2.2581e+00,0.896,0.864
2.2657e+00,0.896,0.92
2.2734e+00,0.896,0.864
2.2811e+00,0.896,0.928
2.2888e+00,0.896,0.864
2.2965e+00,0.896,0.928
2.3041e+00,0.896,0.864
2.3118e+00,0.896,0.92
2.3195e+00,0.896,0.864
2.3272e+00,0.896,0.92
2.3349e+00,0.896,0.872
2.3425e+00,0.896,0.928
2.3502e+00,0.896,0.864
2.3579e+00,0.896,0.928
2.3656e+00,0.896,0.872
2.3733e+00,0.896,0.928
2.3810e+00,0.896,0.864
2.3886e+00,0.896,0.928
2.3963e+00,0.896,0.872
2.4040e+00,0.896,0.928
2.4117e+00,0.896,0.872
2.4194e+00,0.896,0.928
2.4270e+00,0.896,0.864
2.4347e+00,0.896,0.928
2.4424e+00,0.896,0.872
2.4501e+00,0.896,0.928
2.4578e+00,0.896,0.872
2.4654e+00,0.896,0.928
2.4731e+00,0.896,0.872
2.4808e+00,0.896,0.928
2.4885e+00,0.896,0.872
2.4962e+00,0.896,0.928
2.5038e+00,0.896,0.872
2.5115e+00,0.896,0.928
2.5192e+00,0.896,0.872
2.5269e+00,0.896,0.928
2.5346e+00,0.896,0.872
2.5422e+00,0.904,0.928
2.5499e+00,0.904,0.872
2.5576e+00,0.896,0.928
2.5653e+00,0.904,0.872
2.5730e+00,0.904,0.928
2.5806e+00,0.904,0.872
2.5883e+00,0.904,0.936
2.5960e+00,0.904,0.872
2.6037e+00,0.904,0.928
2.6114e+00,0.904,0.872
2.6190e+00,0.904,0.928
2.6267e+00,0.904,0.872
2.6344e+00,0.904,0.928
2.6421e+00,0.904,0.872
2.6498e+00,0.904,0.928
2.6575e+00,0.904,0.872
2.6651e+00,0.904,0.936
2.6728e+00,0.904,0.872
2.6805e+00,0.904,0.928
2.6882e+00,0.904,0.88
2.6959e+00,0.904,0.936
2.7035e+00,0.904,0.872
2.7112e+00,0.904,0.928
2.7189e+00,0.904,0.88
2.7266e+00,0.904,0.936
2.7343e+00,0.904,0.88
2.7419e+00,0.904,0.936
2.7496e+00,0.904,0.88
2.7573e+00,0.904,0.936
2.7650e+00,0.904,0.872
2.7727e+00,0.904,0.936
2.7803e+00,0.904,0.88
2.7880e+00,0.904,0.936
2.7957e+00,0.904,0.88
2.8034e+00,0.904,0.936
2.8111e+00,0.904,0.88
2.8187e+00,0.904,0.936
2.8264e+00,0.904,0.88
2.8341e+00,0.904,0.944
2.8418e+00,0.904,0.88
2.8495e+00,0.904,0.936
2.8571e+00,0.904,0.88
2.8648e+00,0.912,0.944
2.8725e+00,0.904,0.88
2.8802e+00,0.912,0.936
2.8879e+00,0.912,0.88
2.8955e+00,0.912,0.936
2.9032e+00,0.912,0.88
2.9109e+00,0.912,0.944
2.9186e+00,0.912,0.88
2.9263e+00,0.912,0.936
2.9339e+00,0.912,0.888
2.9416e+00,0.912,0.944
2.9493e+00,0.912,0.88
2.9570e+00,0.912,0.936
2.9647e+00,0.912,0.888
2.9724e+00,0.912,0.944
2.9800e+00,0.912,0.88
2.9877e+00,0.912,0.936
2.9954e+00,0.912,0.888
3.0031e+00,0.912,0.944
3.0108e+00,0.912,0.888
3.0184e+00,0.912,0.936
3.0261e+00,0.912,0.888
3.0338e+00,0.912,0.944
3.0415e+00,0.912,0.888
3.0492e+00,0.912,0.944
3.0568e+00,0.912,0.888
3.0645e+00,0.912,0.936
3.0722e+00,0.912,0.888
3.0799e+00,0.912,0.944
3.0876e+00,0.912,0.888
3.0952e+00,0.912,0.944
3.1029e+00,0.912,0.888
3.1106e+00,0.912,0.944
3.1183e+00,0.912,0.888
3.1260e+00,0.912,0.936
3.1336e+00,0.912,0.888
3.1413e+00,0.912,0.944
3.1490e+00,0.912,0.888
3.1567e+00,0.912,0.944
3.1644e+00,0.912,0.888
3.1720e+00,0.92,0.944
3.1797e+00,0.92,0.888
3.1874e+00,0.92,0.952
3.1951e+00,0.92,0.888
3.2028e+00,0.92,0.944
3.2104e+00,0.92,0.896
3.2181e+00,0.92,0.944
3.2258e+00,0.92,0.888
3.2335e+00,0.92,0.952
3.2412e+00,0.92,0.888
3.2488e+00,0.92,0.952
3.2565e+00,0.92,0.888
3.2642e+00,0.92,0.952
3.2719e+00,0.92,0.896
3.2796e+00,0.92,0.952
3.2873e+00,0.92,0.896
3.2949e+00,0.92,0.952
3.3026e+00,0.92,0.896
3.3103e+00,0.92,0.944
3.3180e+00,0.92,0.896
3.3257e+00,0.92,0.952
3.3333e+00,0.92,0.888
3.3410e+00,0.92,0.952
3.3487e+00,0.92,0.896
3.3564e+00,0.92,0.952
3.3641e+00,0.92,0.896
3.3717e+00,0.92,0.944
3.3794e+00,0.92,0.888
3.3871e+00,0.92,0.952
3.3948e+00,0.92,0.896
3.4025e+00,0.92,0.952
3.4101e+00,0.92,0.896
3.4178e+00,0.92,0.952
3.4255e+00,0.92,0.896
3.4332e+00,0.92,0.952
3.4409e+00,0.92,0.896
3.4485e+00,0.92,0.952
3.4562e+00,0.928,0.896
3.4639e+00,0.928,0.96
3.4716e+00,0.92,0.896
3.4793e+00,0.928,0.952
3.4869e+00,0.928,0.896
3.4946e+00,0.928,0.96
3.5023e+00,0.928,0.896
3.5100e+00,0.928,0.952
3.5177e+00,0.928,0.896
3.5253e+00,0.928,0.96
3.5330e+00,0.928,0.896
3.5407e+00,0.928,0.952
3.5484e+00,0.928,0.896
3.5561e+00,0.928,0.952
3.5637e+00,0.928,0.904
3.5714e+00,0.928,0.96
3.5791e+00,0.928,0.896
3.5868e+00,0.928,0.952
3.5945e+00,0.928,0.896
3.6022e+00,0.928,0.96
3.6098e+00,0.928,0.896
3.6175e+00,0.928,0.952
3.6252e+00,0.928,0.896
3.6329e+00,0.928,0.96
3.6406e+00,0.928,0.896
3.6482e+00,0.928,0.96
3.6559e+00,0.928,0.904
3.6636e+00,0.928,0.96
3.6713e+00,0.928,0.904
3.6790e+00,0.928,0.96
3.6866e+00,0.928,0.896
3.6943e+00,0.928,0.96
3.7020e+00,0.928,0.904
3.7097e+00,0.928,0.96
3.7174e+00,0.928,0.896
3.7250e+00,0.928,0.96
3.7327e+00,0.928,0.904
3.7404e+00,0.928,0.96
3.7481e+00,0.928,0.904
3.7558e+00,0.928,0.96
3.7634e+00,0.928,0.904
3.7711e+00,0.928,0.96
3.7788e+00,0.936,0.904
3.7865e+00,0.936,0.96
3.7942e+00,0.936,0.904
3.8018e+00,0.936,0.96
3.8095e+00,0.936,0.904
3.8172e+00,0.936,0.96
3.8249e+00,0.936,0.904
3.8326e+00,0.936,0.96
3.8402e+00,0.936,0.912
3.8479e+00,0.936,0.968
3.8556e+00,0.936,0.904
3.8633e+00,0.936,0.96
3.8710e+00,0.936,0.904
3.8786e+00,0.936,0.968
3.8863e+00,0.936,0.912
3.8940e+00,0.936,0.96
3.9017e+00,0.936,0.904
3.9094e+00,0.936,0.968
3.9171e+00,0.936,0.912
3.9247e+00,0.936,0.968
3.9324e+00,0.936,0.904
3.9401e+00,0.936,0.96
3.9478e+00,0.936,0.912
3.9555e+00,0.936,0.968
3.9631e+00,0.936,0.912
3.9708e+00,0.936,0.96
3.9785e+00,0.936,0.912
3.9862e+00,0.936,0.968
3.9939e+00,0.936,0.904
4.0015e+00,0.936,0.96
4.0092e+00,0.936,0.912
4.0169e+00,0.936,0.968
4.0246e+00,0.936,0.912
4.0323e+00,0.936,0.968
4.0399e+00,0.936,0.912
4.0476e+00,0.936,0.968
4.0553e+00,0.936,0.912
4.0630e+00,0.936,0.968
4.0707e+00,0.936,0.912
4.0783e+00,0.944,0.968
4.0860e+00,0.944,0.912
4.0937e+00,0.936,0.968
4.1014e+00,0.944,0.912
4.1091e+00,0.944,0.968
4.1167e+00,0.944,0.912
4.1244e+00,0.944,0.968
4.1321e+00,0.944,0.912
4.1398e+00,0.944,0.976
4.1475e+00,0.944,0.92
4.1551e+00,0.944,0.976
4.1628e+00,0.944,0.912
4.1705e+00,0.944,0.976
4.1782e+00,0.944,0.912
4.1859e+00,0.944,0.968
4.1935e+00,0.944,0.92
4.2012e+00,0.944,0.976
4.2089e+00,0.944,0.912
4.2166e+00,0.944,0.976
4.2243e+00,0.944,0.92
4.2320e+00,0.944,0.976
4.2396e+00,0.944,0.912
4.2473e+00,0.944,0.968
4.2550e+00,0.944,0.92
4.2627e+00,0.944,0.976
4.2704e+00,0.944,0.92
4.2780e+00,0.944,0.976
4.2857e+00,0.944,0.912
4.2934e+00,0.944,0.976
4.3011e+00,0.944,0.92
4.3088e+00,0.944,0.976
4.3164e+00,0.944,0.92
4.3241e+00,0.944,0.968
4.3318e+00,0.944,0.92
4.3395e+00,0.944,0.976
4.3472e+00,0.944,0.92
4.3548e+00,0.944,0.968
4.3625e+00,0.944,0.92
4.3702e+00,0.944,0.976
4.3779e+00,0.944,0.92
4.3856e+00,0.944,0.976
4.3932e+00,0.952,0.92
4.4009e+00,0.952,0.984
4.4086e+00,0.952,0.92
4.4163e+00,0.952,0.976
4.4240e+00,0.952,0.92
4.4316e+00,0.944,0.976
4.4393e+00,0.952,0.928
4.4470e+00,0.952,0.984
4.4547e+00,0.952,0.92
4.4624e+00,0.952,0.976
4.4700e+00,0.952,0.928
4.4777e+00,0.952,0.976
4.4854e+00,0.952,0.92
4.4931e+00,0.952,0.976
4.5008e+00,0.952,0.92
4.5084e+00,0.952,0.976
4.5161e+00,0.952,0.92
4.5238e+00,0.952,0.976
4.5315e+00,0.952,0.92
4.5392e+00,0.952,0.976
4.5469e+00,0.952,0.928
4.5545e+00,0.952,0.984
4.5622e+00,0.952,0.928
4.5699e+00,0.952,0.976
4.5776e+00,0.952,0.928
4.5853e+00,0.952,0.984
4.5929e+00,0.952,0.92
4.6006e+00,0.952,0.976
4.6083e+00,0.952,0.928
4.6160e+00,0.952,0.984
4.6237e+00,0.952,0.928
4.6313e+00,0.952,0.984
4.6390e+00,0.952,0.936
4.6467e+00,0.952,0.984
4.6544e+00,0.952,0.928
4.6621e+00,0.952,0.984
4.6697e+00,0.952,0.92
4.6774e+00,0.952,0.984
4.6851e+00,0.952,0.928
4.6928e+00,0.96,0.984
4.7005e+00,0.952,0.928
4.7081e+00,0.952,0.984
4.7158e+00,0.952,0.928
4.7235e+00,0.96,0.992
4.7312e+00,0.96,0.928
4.7389e+00,0.96,0.984
4.7465e+00,0.96,0.928
4.7542e+00,0.96,0.992
4.7619e+00,0.96,0.936
4.7696e+00,0.96,0.984
4.7773e+00,0.96,0.928
4.7849e+00,0.96,0.984
4.7926e+00,0.96,0.936
4.8003e+00,0.96,0.992
4.8080e+00,0.96,0.928
4.8157e+00,0.96,0.984
4.8233e+00,0.96,0.936
4.8310e+00,0.96,0.992
4.8387e+00,0.96,0.928
4.8464e+00,0.96,0.984
4.8541e+00,0.96,0.936
4.8618e+00,0.96,0.992
4.8694e+00,0.96,0.936
4.8771e+00,0.96,0.984
4.8848e+00,0.96,0.928
4.8925e+00,0.96,0.992
4.9002e+00,0.96,0.928
4.9078e+00,0.96,0.992
4.9155e+00,0.96,0.936
4.9232e+00,0.96,0.984
4.9309e+00,0.96,0.936
4.9386e+00,0.96,0.992
4.9462e+00,0.96,0.928
4.9539e+00,0.96,0.992
4.9616e+00,0.96,0.936
4.9693e+00,0.96,0.992
4.9770e+00,0.96,0.936
4.9846e+00,0.96,0.984
4.9923e+00,0.96,0.944
5.0000e+00,0.96,0.992
5.0077e+00,0.96,0.936
5.0154e+00,0.96,0.992
5.0230e+00,0.96,0.936
5.0307e+00,0.968,0.992
5.0384e+00,0.968,0.936
5.0461e+00,0.968,0.992
5.0538e+00,0.968,0.936
5.0614e+00,0.968,0.992
5.0691e+00,0.968,0.936
5.0768e+00,0.968,0.992
5.0845e+00,0.968,0.936
5.0922e+00,0.968,0.984
5.0998e+00,0.968,0.944
5.1075e+00,0.968,0.992
5.1152e+00,0.968,0.944
5.1229e+00,0.968,0.992
5.1306e+00,0.968,0.944
5.1382e+00,0.968,1
5.1459e+00,0.968,0.944
5.1536e+00,0.968,0.992
5.1613e+00,0.968,0.936
5.1690e+00,0.968,0.992
5.1767e+00,0.968,0.944
5.1843e+00,0.968,1
5.1920e+00,0.968,0.944
5.1997e+00,0.968,0.992
5.2074e+00,0.968,0.944
5.2151e+00,0.968,1
5.2227e+00,0.968,0.944
5.2304e+00,0.968,0.992
5.2381e+00,0.968,0.936
5.2458e+00,0.968,1
5.2535e+00,0.968,0.944
5.2611e+00,0.968,0.992
5.2688e+00,0.968,0.944
5.2765e+00,0.968,1
5.2842e+00,0.968,0.944
5.2919e+00,0.968,1
5.2995e+00,0.968,0.944
